question=['accra' 'ghana' 'algiers' 'algeria'], predicted=algeria
question=['cairo' 'egypt' 'manila' 'philippines'], predicted=philippines
question=['canberra' 'australia' 'caracas' 'venezuela'], predicted=venezuela
question=['canberra' 'australia' 'copenhagen' 'denmark'], predicted=denmark
question=['canberra' 'australia' 'damascus' 'syria'], predicted=syria
question=['canberra' 'australia' 'dublin' 'ireland'], predicted=ireland
question=['canberra' 'australia' 'hanoi' 'vietnam'], predicted=vietnam
question=['canberra' 'australia' 'havana' 'cuba'], predicted=cuba
question=['canberra' 'australia' 'helsinki' 'finland'], predicted=finland
question=['canberra' 'australia' 'islamabad' 'pakistan'], predicted=pakistan
question=['canberra' 'australia' 'jakarta' 'indonesia'], predicted=indonesia
question=['canberra' 'australia' 'kabul' 'afghanistan'], predicted=afghanistan
question=['canberra' 'australia' 'khartoum' 'sudan'], predicted=sudan
question=['canberra' 'australia' 'lima' 'peru'], predicted=peru
question=['canberra' 'australia' 'lisbon' 'portugal'], predicted=portugal
question=['canberra' 'australia' 'ljubljana' 'slovenia'], predicted=slovenia
question=['canberra' 'australia' 'london' 'england'], predicted=england
question=['canberra' 'australia' 'luanda' 'angola'], predicted=angola
question=['canberra' 'australia' 'lusaka' 'zambia'], predicted=zambia
question=['canberra' 'australia' 'madrid' 'spain'], predicted=spain
question=['canberra' 'australia' 'manila' 'philippines'], predicted=philippines
question=['caracas' 'venezuela' 'copenhagen' 'denmark'], predicted=denmark
question=['caracas' 'venezuela' 'damascus' 'syria'], predicted=syria
question=['caracas' 'venezuela' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['caracas' 'venezuela' 'dublin' 'ireland'], predicted=ireland
question=['caracas' 'venezuela' 'hanoi' 'vietnam'], predicted=vietnam
question=['caracas' 'venezuela' 'havana' 'cuba'], predicted=cuba
question=['caracas' 'venezuela' 'helsinki' 'finland'], predicted=finland
question=['caracas' 'venezuela' 'islamabad' 'pakistan'], predicted=pakistan
question=['caracas' 'venezuela' 'jakarta' 'indonesia'], predicted=indonesia
question=['caracas' 'venezuela' 'kabul' 'afghanistan'], predicted=afghanistan
question=['caracas' 'venezuela' 'khartoum' 'sudan'], predicted=sudan
question=['caracas' 'venezuela' 'kingston' 'jamaica'], predicted=jamaica
question=['caracas' 'venezuela' 'lima' 'peru'], predicted=peru
question=['caracas' 'venezuela' 'lisbon' 'portugal'], predicted=portugal
question=['caracas' 'venezuela' 'ljubljana' 'slovenia'], predicted=slovenia
question=['caracas' 'venezuela' 'luanda' 'angola'], predicted=angola
question=['caracas' 'venezuela' 'manama' 'bahrain'], predicted=bahrain
question=['caracas' 'venezuela' 'manila' 'philippines'], predicted=philippines
question=['caracas' 'venezuela' 'minsk' 'belarus'], predicted=belarus
question=['chisinau' 'moldova' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['chisinau' 'moldova' 'dublin' 'ireland'], predicted=ireland
question=['chisinau' 'moldova' 'helsinki' 'finland'], predicted=finland
question=['chisinau' 'moldova' 'jakarta' 'indonesia'], predicted=indonesia
question=['chisinau' 'moldova' 'kabul' 'afghanistan'], predicted=afghanistan
question=['chisinau' 'moldova' 'kingston' 'jamaica'], predicted=jamaica
question=['chisinau' 'moldova' 'lilongwe' 'malawi'], predicted=malawi
question=['chisinau' 'moldova' 'maputo' 'mozambique'], predicted=mozambique
question=['chisinau' 'moldova' 'minsk' 'belarus'], predicted=belarus
question=['conakry' 'guinea' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['conakry' 'guinea' 'dublin' 'ireland'], predicted=ireland
question=['conakry' 'guinea' 'georgetown' 'guyana'], predicted=guyana
question=['conakry' 'guinea' 'havana' 'cuba'], predicted=cuba
question=['conakry' 'guinea' 'helsinki' 'finland'], predicted=finland
question=['conakry' 'guinea' 'jakarta' 'indonesia'], predicted=indonesia
question=['conakry' 'guinea' 'kabul' 'afghanistan'], predicted=afghanistan
question=['conakry' 'guinea' 'khartoum' 'sudan'], predicted=sudan
question=['conakry' 'guinea' 'kingston' 'jamaica'], predicted=jamaica
question=['conakry' 'guinea' 'libreville' 'gabon'], predicted=gabon
question=['conakry' 'guinea' 'lima' 'peru'], predicted=peru
question=['conakry' 'guinea' 'madrid' 'spain'], predicted=spain
question=['conakry' 'guinea' 'manama' 'bahrain'], predicted=bahrain
question=['conakry' 'guinea' 'manila' 'philippines'], predicted=philippines
question=['conakry' 'guinea' 'maputo' 'mozambique'], predicted=mozambique
question=['copenhagen' 'denmark' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['copenhagen' 'denmark' 'dublin' 'ireland'], predicted=ireland
question=['copenhagen' 'denmark' 'havana' 'cuba'], predicted=cuba
question=['copenhagen' 'denmark' 'helsinki' 'finland'], predicted=finland
question=['copenhagen' 'denmark' 'islamabad' 'pakistan'], predicted=pakistan
question=['copenhagen' 'denmark' 'jakarta' 'indonesia'], predicted=indonesia
question=['copenhagen' 'denmark' 'kabul' 'afghanistan'], predicted=afghanistan
question=['copenhagen' 'denmark' 'khartoum' 'sudan'], predicted=sudan
question=['copenhagen' 'denmark' 'lima' 'peru'], predicted=peru
question=['copenhagen' 'denmark' 'lisbon' 'portugal'], predicted=portugal
question=['copenhagen' 'denmark' 'london' 'england'], predicted=england
question=['copenhagen' 'denmark' 'madrid' 'spain'], predicted=spain
question=['copenhagen' 'denmark' 'manila' 'philippines'], predicted=philippines
question=['copenhagen' 'denmark' 'montevideo' 'uruguay'], predicted=uruguay
question=['dakar' 'senegal' 'damascus' 'syria'], predicted=syria
question=['dakar' 'senegal' 'doha' 'qatar'], predicted=qatar
question=['dakar' 'senegal' 'helsinki' 'finland'], predicted=finland
question=['dakar' 'senegal' 'jakarta' 'indonesia'], predicted=indonesia
question=['dakar' 'senegal' 'kabul' 'afghanistan'], predicted=afghanistan
question=['dakar' 'senegal' 'khartoum' 'sudan'], predicted=sudan
question=['dakar' 'senegal' 'lisbon' 'portugal'], predicted=portugal
question=['dakar' 'senegal' 'ljubljana' 'slovenia'], predicted=slovenia
question=['dakar' 'senegal' 'manama' 'bahrain'], predicted=bahrain
question=['dakar' 'senegal' 'manila' 'philippines'], predicted=philippines
question=['dakar' 'senegal' 'mogadishu' 'somalia'], predicted=somalia
question=['dakar' 'senegal' 'moscow' 'russia'], predicted=russia
question=['damascus' 'syria' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['damascus' 'syria' 'dublin' 'ireland'], predicted=ireland
question=['damascus' 'syria' 'hanoi' 'vietnam'], predicted=vietnam
question=['damascus' 'syria' 'havana' 'cuba'], predicted=cuba
question=['damascus' 'syria' 'helsinki' 'finland'], predicted=finland
question=['damascus' 'syria' 'jakarta' 'indonesia'], predicted=indonesia
question=['damascus' 'syria' 'kabul' 'afghanistan'], predicted=afghanistan
question=['damascus' 'syria' 'khartoum' 'sudan'], predicted=sudan
question=['damascus' 'syria' 'kiev' 'ukraine'], predicted=ukraine
question=['damascus' 'syria' 'lima' 'peru'], predicted=peru
question=['damascus' 'syria' 'lisbon' 'portugal'], predicted=portugal
question=['damascus' 'syria' 'ljubljana' 'slovenia'], predicted=slovenia
question=['damascus' 'syria' 'luanda' 'angola'], predicted=angola
question=['damascus' 'syria' 'lusaka' 'zambia'], predicted=zambia
question=['damascus' 'syria' 'madrid' 'spain'], predicted=spain
question=['damascus' 'syria' 'manila' 'philippines'], predicted=philippines
question=['damascus' 'syria' 'minsk' 'belarus'], predicted=belarus
question=['damascus' 'syria' 'mogadishu' 'somalia'], predicted=somalia
question=['damascus' 'syria' 'monrovia' 'liberia'], predicted=liberia
question=['damascus' 'syria' 'montevideo' 'uruguay'], predicted=uruguay
question=['damascus' 'syria' 'moscow' 'russia'], predicted=russia
question=['dhaka' 'bangladesh' 'dublin' 'ireland'], predicted=ireland
question=['dhaka' 'bangladesh' 'hanoi' 'vietnam'], predicted=vietnam
question=['dhaka' 'bangladesh' 'havana' 'cuba'], predicted=cuba
question=['dhaka' 'bangladesh' 'helsinki' 'finland'], predicted=finland
question=['dhaka' 'bangladesh' 'islamabad' 'pakistan'], predicted=pakistan
question=['dhaka' 'bangladesh' 'jakarta' 'indonesia'], predicted=indonesia
question=['dhaka' 'bangladesh' 'kabul' 'afghanistan'], predicted=afghanistan
question=['dhaka' 'bangladesh' 'kiev' 'ukraine'], predicted=ukraine
question=['dhaka' 'bangladesh' 'kingston' 'jamaica'], predicted=jamaica
question=['dhaka' 'bangladesh' 'lima' 'peru'], predicted=peru
question=['dhaka' 'bangladesh' 'lisbon' 'portugal'], predicted=portugal
question=['dhaka' 'bangladesh' 'ljubljana' 'slovenia'], predicted=slovenia
question=['dhaka' 'bangladesh' 'luanda' 'angola'], predicted=angola
question=['dhaka' 'bangladesh' 'lusaka' 'zambia'], predicted=zambia
question=['dhaka' 'bangladesh' 'madrid' 'spain'], predicted=spain
question=['dhaka' 'bangladesh' 'manama' 'bahrain'], predicted=bahrain
question=['dhaka' 'bangladesh' 'manila' 'philippines'], predicted=philippines
question=['dhaka' 'bangladesh' 'maputo' 'mozambique'], predicted=mozambique
question=['dhaka' 'bangladesh' 'minsk' 'belarus'], predicted=belarus
question=['dhaka' 'bangladesh' 'mogadishu' 'somalia'], predicted=somalia
question=['dhaka' 'bangladesh' 'moscow' 'russia'], predicted=russia
question=['dhaka' 'bangladesh' 'muscat' 'oman'], predicted=oman
question=['dhaka' 'bangladesh' 'nairobi' 'kenya'], predicted=kenya
question=['doha' 'qatar' 'dublin' 'ireland'], predicted=ireland
question=['doha' 'qatar' 'havana' 'cuba'], predicted=cuba
question=['doha' 'qatar' 'helsinki' 'finland'], predicted=finland
question=['doha' 'qatar' 'jakarta' 'indonesia'], predicted=indonesia
question=['doha' 'qatar' 'kabul' 'afghanistan'], predicted=afghanistan
question=['doha' 'qatar' 'khartoum' 'sudan'], predicted=sudan
question=['doha' 'qatar' 'kiev' 'ukraine'], predicted=ukraine
question=['doha' 'qatar' 'lisbon' 'portugal'], predicted=portugal
question=['doha' 'qatar' 'madrid' 'spain'], predicted=spain
question=['doha' 'qatar' 'manama' 'bahrain'], predicted=bahrain
question=['doha' 'qatar' 'manila' 'philippines'], predicted=philippines
question=['doha' 'qatar' 'moscow' 'russia'], predicted=russia
question=['doha' 'qatar' 'muscat' 'oman'], predicted=oman
question=['dublin' 'ireland' 'havana' 'cuba'], predicted=cuba
question=['dublin' 'ireland' 'helsinki' 'finland'], predicted=finland
question=['dublin' 'ireland' 'jakarta' 'indonesia'], predicted=indonesia
question=['dublin' 'ireland' 'kabul' 'afghanistan'], predicted=afghanistan
question=['dublin' 'ireland' 'lima' 'peru'], predicted=peru
question=['dublin' 'ireland' 'lisbon' 'portugal'], predicted=portugal
question=['dublin' 'ireland' 'london' 'england'], predicted=england
question=['dublin' 'ireland' 'madrid' 'spain'], predicted=spain
question=['dublin' 'ireland' 'manila' 'philippines'], predicted=philippines
question=['dublin' 'ireland' 'montevideo' 'uruguay'], predicted=uruguay
question=['dublin' 'ireland' 'moscow' 'russia'], predicted=russia
question=['dublin' 'ireland' 'nairobi' 'kenya'], predicted=kenya
question=['gaborone' 'botswana' 'helsinki' 'finland'], predicted=finland
question=['gaborone' 'botswana' 'jakarta' 'indonesia'], predicted=indonesia
question=['gaborone' 'botswana' 'kabul' 'afghanistan'], predicted=afghanistan
question=['gaborone' 'botswana' 'khartoum' 'sudan'], predicted=sudan
question=['gaborone' 'botswana' 'luanda' 'angola'], predicted=angola
question=['gaborone' 'botswana' 'madrid' 'spain'], predicted=spain
question=['gaborone' 'botswana' 'manila' 'philippines'], predicted=philippines
question=['gaborone' 'botswana' 'minsk' 'belarus'], predicted=belarus
question=['gaborone' 'botswana' 'montevideo' 'uruguay'], predicted=uruguay
question=['gaborone' 'botswana' 'nairobi' 'kenya'], predicted=kenya
question=['georgetown' 'guyana' 'havana' 'cuba'], predicted=cuba
question=['georgetown' 'guyana' 'helsinki' 'finland'], predicted=finland
question=['georgetown' 'guyana' 'islamabad' 'pakistan'], predicted=pakistan
question=['georgetown' 'guyana' 'jakarta' 'indonesia'], predicted=indonesia
question=['georgetown' 'guyana' 'kabul' 'afghanistan'], predicted=afghanistan
question=['georgetown' 'guyana' 'kingston' 'jamaica'], predicted=jamaica
question=['georgetown' 'guyana' 'libreville' 'gabon'], predicted=gabon
question=['georgetown' 'guyana' 'lusaka' 'zambia'], predicted=zambia
question=['georgetown' 'guyana' 'madrid' 'spain'], predicted=spain
question=['georgetown' 'guyana' 'manila' 'philippines'], predicted=philippines
question=['georgetown' 'guyana' 'minsk' 'belarus'], predicted=belarus
question=['georgetown' 'guyana' 'moscow' 'russia'], predicted=russia
question=['georgetown' 'guyana' 'nuuk' 'greenland'], predicted=greenland
question=['hanoi' 'vietnam' 'havana' 'cuba'], predicted=cuba
question=['hanoi' 'vietnam' 'helsinki' 'finland'], predicted=finland
question=['hanoi' 'vietnam' 'islamabad' 'pakistan'], predicted=pakistan
question=['hanoi' 'vietnam' 'jakarta' 'indonesia'], predicted=indonesia
question=['hanoi' 'vietnam' 'kabul' 'afghanistan'], predicted=afghanistan
question=['hanoi' 'vietnam' 'lima' 'peru'], predicted=peru
question=['hanoi' 'vietnam' 'london' 'england'], predicted=england
question=['hanoi' 'vietnam' 'madrid' 'spain'], predicted=spain
question=['hanoi' 'vietnam' 'manila' 'philippines'], predicted=philippines
question=['hanoi' 'vietnam' 'montevideo' 'uruguay'], predicted=uruguay
question=['hanoi' 'vietnam' 'moscow' 'russia'], predicted=russia
question=['hanoi' 'vietnam' 'nuuk' 'greenland'], predicted=greenland
question=['hanoi' 'vietnam' 'oslo' 'norway'], predicted=norway
question=['hanoi' 'vietnam' 'ottawa' 'canada'], predicted=canada
question=['harare' 'zimbabwe' 'havana' 'cuba'], predicted=cuba
question=['harare' 'zimbabwe' 'helsinki' 'finland'], predicted=finland
question=['harare' 'zimbabwe' 'jakarta' 'indonesia'], predicted=indonesia
question=['harare' 'zimbabwe' 'kabul' 'afghanistan'], predicted=afghanistan
question=['harare' 'zimbabwe' 'khartoum' 'sudan'], predicted=sudan
question=['harare' 'zimbabwe' 'kingston' 'jamaica'], predicted=jamaica
question=['harare' 'zimbabwe' 'luanda' 'angola'], predicted=angola
question=['harare' 'zimbabwe' 'lusaka' 'zambia'], predicted=zambia
question=['harare' 'zimbabwe' 'manila' 'philippines'], predicted=philippines
question=['harare' 'zimbabwe' 'nairobi' 'kenya'], predicted=kenya
question=['havana' 'cuba' 'helsinki' 'finland'], predicted=finland
question=['havana' 'cuba' 'islamabad' 'pakistan'], predicted=pakistan
question=['havana' 'cuba' 'jakarta' 'indonesia'], predicted=indonesia
question=['havana' 'cuba' 'kabul' 'afghanistan'], predicted=afghanistan
question=['havana' 'cuba' 'khartoum' 'sudan'], predicted=sudan
question=['havana' 'cuba' 'kiev' 'ukraine'], predicted=ukraine
question=['havana' 'cuba' 'kingston' 'jamaica'], predicted=jamaica
question=['havana' 'cuba' 'lima' 'peru'], predicted=peru
question=['havana' 'cuba' 'lisbon' 'portugal'], predicted=portugal
question=['havana' 'cuba' 'luanda' 'angola'], predicted=angola
question=['havana' 'cuba' 'madrid' 'spain'], predicted=spain
question=['havana' 'cuba' 'manila' 'philippines'], predicted=philippines
question=['havana' 'cuba' 'minsk' 'belarus'], predicted=belarus
question=['havana' 'cuba' 'montevideo' 'uruguay'], predicted=uruguay
question=['havana' 'cuba' 'nicosia' 'cyprus'], predicted=cyprus
question=['havana' 'cuba' 'ottawa' 'canada'], predicted=canada
question=['havana' 'cuba' 'paris' 'france'], predicted=france
question=['helsinki' 'finland' 'islamabad' 'pakistan'], predicted=pakistan
question=['helsinki' 'finland' 'jakarta' 'indonesia'], predicted=indonesia
question=['helsinki' 'finland' 'kabul' 'afghanistan'], predicted=afghanistan
question=['helsinki' 'finland' 'kingston' 'jamaica'], predicted=jamaica
question=['helsinki' 'finland' 'lima' 'peru'], predicted=peru
question=['helsinki' 'finland' 'lisbon' 'portugal'], predicted=portugal
question=['helsinki' 'finland' 'ljubljana' 'slovenia'], predicted=slovenia
question=['helsinki' 'finland' 'madrid' 'spain'], predicted=spain
question=['helsinki' 'finland' 'manila' 'philippines'], predicted=philippines
question=['helsinki' 'finland' 'minsk' 'belarus'], predicted=belarus
question=['helsinki' 'finland' 'monrovia' 'liberia'], predicted=liberia
question=['helsinki' 'finland' 'montevideo' 'uruguay'], predicted=uruguay
question=['helsinki' 'finland' 'moscow' 'russia'], predicted=russia
question=['helsinki' 'finland' 'nicosia' 'cyprus'], predicted=cyprus
question=['helsinki' 'finland' 'oslo' 'norway'], predicted=norway
question=['helsinki' 'finland' 'ottawa' 'canada'], predicted=canada
question=['helsinki' 'finland' 'paris' 'france'], predicted=france
question=['islamabad' 'pakistan' 'jakarta' 'indonesia'], predicted=indonesia
question=['islamabad' 'pakistan' 'kabul' 'afghanistan'], predicted=afghanistan
question=['islamabad' 'pakistan' 'khartoum' 'sudan'], predicted=sudan
question=['islamabad' 'pakistan' 'kingston' 'jamaica'], predicted=jamaica
question=['islamabad' 'pakistan' 'lima' 'peru'], predicted=peru
question=['islamabad' 'pakistan' 'lisbon' 'portugal'], predicted=portugal
question=['islamabad' 'pakistan' 'luanda' 'angola'], predicted=angola
question=['islamabad' 'pakistan' 'manila' 'philippines'], predicted=philippines
question=['islamabad' 'pakistan' 'minsk' 'belarus'], predicted=belarus
question=['islamabad' 'pakistan' 'montevideo' 'uruguay'], predicted=uruguay
question=['islamabad' 'pakistan' 'moscow' 'russia'], predicted=russia
question=['islamabad' 'pakistan' 'muscat' 'oman'], predicted=oman
question=['islamabad' 'pakistan' 'nairobi' 'kenya'], predicted=kenya
question=['islamabad' 'pakistan' 'oslo' 'norway'], predicted=norway
question=['islamabad' 'pakistan' 'ottawa' 'canada'], predicted=canada
question=['islamabad' 'pakistan' 'paris' 'france'], predicted=france
question=['islamabad' 'pakistan' 'quito' 'ecuador'], predicted=ecuador
question=['jakarta' 'indonesia' 'kabul' 'afghanistan'], predicted=afghanistan
question=['jakarta' 'indonesia' 'khartoum' 'sudan'], predicted=sudan
question=['jakarta' 'indonesia' 'kingston' 'jamaica'], predicted=jamaica
question=['jakarta' 'indonesia' 'libreville' 'gabon'], predicted=gabon
question=['jakarta' 'indonesia' 'lima' 'peru'], predicted=peru
question=['jakarta' 'indonesia' 'lisbon' 'portugal'], predicted=portugal
question=['jakarta' 'indonesia' 'ljubljana' 'slovenia'], predicted=slovenia
question=['jakarta' 'indonesia' 'london' 'england'], predicted=england
question=['jakarta' 'indonesia' 'luanda' 'angola'], predicted=angola
question=['jakarta' 'indonesia' 'madrid' 'spain'], predicted=spain
question=['jakarta' 'indonesia' 'manama' 'bahrain'], predicted=bahrain
question=['jakarta' 'indonesia' 'manila' 'philippines'], predicted=philippines
question=['jakarta' 'indonesia' 'mogadishu' 'somalia'], predicted=somalia
question=['jakarta' 'indonesia' 'monrovia' 'liberia'], predicted=liberia
question=['jakarta' 'indonesia' 'montevideo' 'uruguay'], predicted=uruguay
question=['jakarta' 'indonesia' 'moscow' 'russia'], predicted=russia
question=['jakarta' 'indonesia' 'nairobi' 'kenya'], predicted=kenya
question=['jakarta' 'indonesia' 'nouakchott' 'mauritania'], predicted=mauritania
question=['jakarta' 'indonesia' 'oslo' 'norway'], predicted=norway
question=['jakarta' 'indonesia' 'ottawa' 'canada'], predicted=canada
question=['jakarta' 'indonesia' 'paris' 'france'], predicted=france
question=['jakarta' 'indonesia' 'quito' 'ecuador'], predicted=ecuador
question=['kabul' 'afghanistan' 'kingston' 'jamaica'], predicted=jamaica
question=['kabul' 'afghanistan' 'libreville' 'gabon'], predicted=gabon
question=['kabul' 'afghanistan' 'lima' 'peru'], predicted=peru
question=['kabul' 'afghanistan' 'lisbon' 'portugal'], predicted=portugal
question=['kabul' 'afghanistan' 'ljubljana' 'slovenia'], predicted=slovenia
question=['kabul' 'afghanistan' 'madrid' 'spain'], predicted=spain
question=['kabul' 'afghanistan' 'manama' 'bahrain'], predicted=bahrain
question=['kabul' 'afghanistan' 'manila' 'philippines'], predicted=philippines
question=['kabul' 'afghanistan' 'minsk' 'belarus'], predicted=belarus
question=['kabul' 'afghanistan' 'monrovia' 'liberia'], predicted=liberia
question=['kabul' 'afghanistan' 'moscow' 'russia'], predicted=russia
question=['kabul' 'afghanistan' 'nairobi' 'kenya'], predicted=kenya
question=['kabul' 'afghanistan' 'nicosia' 'cyprus'], predicted=cyprus
question=['kabul' 'afghanistan' 'nuuk' 'greenland'], predicted=greenland
question=['kabul' 'afghanistan' 'ottawa' 'canada'], predicted=canada
question=['kabul' 'afghanistan' 'paris' 'france'], predicted=france
question=['kabul' 'afghanistan' 'podgorica' 'montenegro'], predicted=montenegro
question=['kabul' 'afghanistan' 'quito' 'ecuador'], predicted=ecuador
question=['kabul' 'afghanistan' 'riga' 'latvia'], predicted=latvia
question=['kathmandu' 'nepal' 'khartoum' 'sudan'], predicted=sudan
question=['kathmandu' 'nepal' 'lisbon' 'portugal'], predicted=portugal
question=['kathmandu' 'nepal' 'ljubljana' 'slovenia'], predicted=slovenia
question=['kathmandu' 'nepal' 'london' 'england'], predicted=england
question=['kathmandu' 'nepal' 'luanda' 'angola'], predicted=angola
question=['kathmandu' 'nepal' 'madrid' 'spain'], predicted=spain
question=['kathmandu' 'nepal' 'manila' 'philippines'], predicted=philippines
question=['kathmandu' 'nepal' 'monrovia' 'liberia'], predicted=liberia
question=['kathmandu' 'nepal' 'moscow' 'russia'], predicted=russia
question=['kathmandu' 'nepal' 'nouakchott' 'mauritania'], predicted=mauritania
question=['kathmandu' 'nepal' 'oslo' 'norway'], predicted=norway
question=['kathmandu' 'nepal' 'paris' 'france'], predicted=france
question=['kathmandu' 'nepal' 'podgorica' 'montenegro'], predicted=montenegro
question=['kathmandu' 'nepal' 'riga' 'latvia'], predicted=latvia
question=['khartoum' 'sudan' 'kiev' 'ukraine'], predicted=ukraine
question=['khartoum' 'sudan' 'kingston' 'jamaica'], predicted=jamaica
question=['khartoum' 'sudan' 'libreville' 'gabon'], predicted=gabon
question=['khartoum' 'sudan' 'lima' 'peru'], predicted=peru
question=['khartoum' 'sudan' 'lisbon' 'portugal'], predicted=portugal
question=['khartoum' 'sudan' 'ljubljana' 'slovenia'], predicted=slovenia
question=['khartoum' 'sudan' 'madrid' 'spain'], predicted=spain
question=['khartoum' 'sudan' 'manila' 'philippines'], predicted=philippines
question=['khartoum' 'sudan' 'monrovia' 'liberia'], predicted=liberia
question=['khartoum' 'sudan' 'nairobi' 'kenya'], predicted=kenya
question=['khartoum' 'sudan' 'oslo' 'norway'], predicted=norway
question=['khartoum' 'sudan' 'paris' 'france'], predicted=france
question=['khartoum' 'sudan' 'quito' 'ecuador'], predicted=ecuador
question=['khartoum' 'sudan' 'riga' 'latvia'], predicted=latvia
question=['khartoum' 'sudan' 'rome' 'italy'], predicted=italy
question=['kiev' 'ukraine' 'kingston' 'jamaica'], predicted=jamaica
question=['kiev' 'ukraine' 'ljubljana' 'slovenia'], predicted=slovenia
question=['kiev' 'ukraine' 'luanda' 'angola'], predicted=angola
question=['kiev' 'ukraine' 'lusaka' 'zambia'], predicted=zambia
question=['kiev' 'ukraine' 'madrid' 'spain'], predicted=spain
question=['kiev' 'ukraine' 'manama' 'bahrain'], predicted=bahrain
question=['kiev' 'ukraine' 'manila' 'philippines'], predicted=philippines
question=['kiev' 'ukraine' 'minsk' 'belarus'], predicted=belarus
question=['kiev' 'ukraine' 'mogadishu' 'somalia'], predicted=somalia
question=['kiev' 'ukraine' 'nairobi' 'kenya'], predicted=kenya
question=['kiev' 'ukraine' 'paris' 'france'], predicted=france
question=['kiev' 'ukraine' 'podgorica' 'montenegro'], predicted=montenegro
question=['kiev' 'ukraine' 'quito' 'ecuador'], predicted=ecuador
question=['kiev' 'ukraine' 'riga' 'latvia'], predicted=latvia
question=['kiev' 'ukraine' 'skopje' 'macedonia'], predicted=macedonia
question=['kingston' 'jamaica' 'lisbon' 'portugal'], predicted=portugal
question=['kingston' 'jamaica' 'ljubljana' 'slovenia'], predicted=slovenia
question=['kingston' 'jamaica' 'luanda' 'angola'], predicted=angola
question=['kingston' 'jamaica' 'madrid' 'spain'], predicted=spain
question=['kingston' 'jamaica' 'manama' 'bahrain'], predicted=bahrain
question=['kingston' 'jamaica' 'manila' 'philippines'], predicted=philippines
question=['kingston' 'jamaica' 'monrovia' 'liberia'], predicted=liberia
question=['kingston' 'jamaica' 'nairobi' 'kenya'], predicted=kenya
question=['kingston' 'jamaica' 'nassau' 'bahamas'], predicted=bahamas
question=['kingston' 'jamaica' 'nicosia' 'cyprus'], predicted=cyprus
question=['kingston' 'jamaica' 'paris' 'france'], predicted=france
question=['kingston' 'jamaica' 'podgorica' 'montenegro'], predicted=montenegro
question=['kingston' 'jamaica' 'quito' 'ecuador'], predicted=ecuador
question=['kingston' 'jamaica' 'riga' 'latvia'], predicted=latvia
question=['kingston' 'jamaica' 'rome' 'italy'], predicted=italy
question=['kingston' 'jamaica' 'skopje' 'macedonia'], predicted=macedonia
question=['kingston' 'jamaica' 'sofia' 'bulgaria'], predicted=bulgaria
question=['kingston' 'jamaica' 'stockholm' 'sweden'], predicted=sweden
question=['libreville' 'gabon' 'moscow' 'russia'], predicted=russia
question=['libreville' 'gabon' 'nairobi' 'kenya'], predicted=kenya
question=['libreville' 'gabon' 'ottawa' 'canada'], predicted=canada
question=['libreville' 'gabon' 'skopje' 'macedonia'], predicted=macedonia
question=['libreville' 'gabon' 'stockholm' 'sweden'], predicted=sweden
question=['libreville' 'gabon' 'suva' 'fiji'], predicted=fiji
question=['lilongwe' 'malawi' 'lima' 'peru'], predicted=peru
question=['lilongwe' 'malawi' 'london' 'england'], predicted=england
question=['lilongwe' 'malawi' 'madrid' 'spain'], predicted=spain
question=['lilongwe' 'malawi' 'manila' 'philippines'], predicted=philippines
question=['lilongwe' 'malawi' 'maputo' 'mozambique'], predicted=mozambique
question=['lilongwe' 'malawi' 'monrovia' 'liberia'], predicted=liberia
question=['lilongwe' 'malawi' 'nairobi' 'kenya'], predicted=kenya
question=['lilongwe' 'malawi' 'nicosia' 'cyprus'], predicted=cyprus
question=['lilongwe' 'malawi' 'nouakchott' 'mauritania'], predicted=mauritania
question=['lilongwe' 'malawi' 'nuuk' 'greenland'], predicted=greenland
question=['lilongwe' 'malawi' 'paris' 'france'], predicted=france
question=['lilongwe' 'malawi' 'podgorica' 'montenegro'], predicted=montenegro
question=['lilongwe' 'malawi' 'quito' 'ecuador'], predicted=ecuador
question=['lilongwe' 'malawi' 'riga' 'latvia'], predicted=latvia
question=['lilongwe' 'malawi' 'rome' 'italy'], predicted=italy
question=['lilongwe' 'malawi' 'skopje' 'macedonia'], predicted=macedonia
question=['lilongwe' 'malawi' 'sofia' 'bulgaria'], predicted=bulgaria
question=['lilongwe' 'malawi' 'taipei' 'taiwan'], predicted=taiwan
question=['lima' 'peru' 'lisbon' 'portugal'], predicted=portugal
question=['lima' 'peru' 'london' 'england'], predicted=england
question=['lima' 'peru' 'madrid' 'spain'], predicted=spain
question=['lima' 'peru' 'managua' 'nicaragua'], predicted=nicaragua
question=['lima' 'peru' 'manama' 'bahrain'], predicted=bahrain
question=['lima' 'peru' 'manila' 'philippines'], predicted=philippines
question=['lima' 'peru' 'monrovia' 'liberia'], predicted=liberia
question=['lima' 'peru' 'montevideo' 'uruguay'], predicted=uruguay
question=['lima' 'peru' 'moscow' 'russia'], predicted=russia
question=['lima' 'peru' 'muscat' 'oman'], predicted=oman
question=['lima' 'peru' 'oslo' 'norway'], predicted=norway
question=['lima' 'peru' 'ottawa' 'canada'], predicted=canada
question=['lima' 'peru' 'paris' 'france'], predicted=france
question=['lima' 'peru' 'podgorica' 'montenegro'], predicted=montenegro
