question=['chicago' 'illinois' 'houston' 'texas'], predicted=texas
question=['fresno' 'california' 'anchorage' 'alaska'], predicted=alaska
question=['fresno' 'california' 'toledo' 'ohio'], predicted=ohio
question=['fresno' 'california' 'plano' 'texas'], predicted=texas
question=['fresno' 'california' 'orlando' 'florida'], predicted=florida
question=['fresno' 'california' 'laredo' 'texas'], predicted=texas
question=['fresno' 'california' 'lubbock' 'texas'], predicted=texas
question=['fresno' 'california' 'scottsdale' 'arizona'], predicted=arizona
question=['sacramento' 'california' 'omaha' 'nebraska'], predicted=nebraska
question=['sacramento' 'california' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['sacramento' 'california' 'tampa' 'florida'], predicted=florida
question=['sacramento' 'california' 'honolulu' 'hawaii'], predicted=hawaii
question=['sacramento' 'california' 'anchorage' 'alaska'], predicted=alaska
question=['sacramento' 'california' 'laredo' 'texas'], predicted=texas
question=['sacramento' 'california' 'madison' 'wisconsin'], predicted=wisconsin
question=['sacramento' 'california' 'scottsdale' 'arizona'], predicted=arizona
question=['mesa' 'arizona' 'omaha' 'nebraska'], predicted=nebraska
question=['mesa' 'arizona' 'miami' 'florida'], predicted=florida
question=['mesa' 'arizona' 'oakland' 'california'], predicted=california
question=['mesa' 'arizona' 'cleveland' 'ohio'], predicted=ohio
question=['mesa' 'arizona' 'minneapolis' 'minnesota'], predicted=minnesota
question=['mesa' 'arizona' 'bakersfield' 'california'], predicted=california
question=['mesa' 'arizona' 'tampa' 'florida'], predicted=florida
question=['mesa' 'arizona' 'honolulu' 'hawaii'], predicted=hawaii
question=['mesa' 'arizona' 'stockton' 'california'], predicted=california
question=['mesa' 'arizona' 'cincinnati' 'ohio'], predicted=ohio
question=['mesa' 'arizona' 'anchorage' 'alaska'], predicted=alaska
question=['mesa' 'arizona' 'toledo' 'ohio'], predicted=ohio
question=['mesa' 'arizona' 'orlando' 'florida'], predicted=florida
question=['mesa' 'arizona' 'laredo' 'texas'], predicted=texas
question=['mesa' 'arizona' 'irvine' 'california'], predicted=california
question=['atlanta' 'georgia' 'omaha' 'nebraska'], predicted=nebraska
question=['atlanta' 'georgia' 'miami' 'florida'], predicted=florida
question=['atlanta' 'georgia' 'cleveland' 'ohio'], predicted=ohio
question=['atlanta' 'georgia' 'minneapolis' 'minnesota'], predicted=minnesota
question=['atlanta' 'georgia' 'honolulu' 'hawaii'], predicted=hawaii
question=['atlanta' 'georgia' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['atlanta' 'georgia' 'cincinnati' 'ohio'], predicted=ohio
question=['atlanta' 'georgia' 'anchorage' 'alaska'], predicted=alaska
question=['atlanta' 'georgia' 'toledo' 'ohio'], predicted=ohio
question=['omaha' 'nebraska' 'miami' 'florida'], predicted=florida
question=['omaha' 'nebraska' 'minneapolis' 'minnesota'], predicted=minnesota
question=['omaha' 'nebraska' 'wichita' 'kansas'], predicted=kansas
question=['omaha' 'nebraska' 'tampa' 'florida'], predicted=florida
question=['omaha' 'nebraska' 'honolulu' 'hawaii'], predicted=hawaii
question=['omaha' 'nebraska' 'toledo' 'ohio'], predicted=ohio
question=['omaha' 'nebraska' 'orlando' 'florida'], predicted=florida
question=['omaha' 'nebraska' 'scottsdale' 'arizona'], predicted=arizona
question=['omaha' 'nebraska' 'akron' 'ohio'], predicted=ohio
question=['miami' 'florida' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['miami' 'florida' 'oakland' 'california'], predicted=california
question=['miami' 'florida' 'cleveland' 'ohio'], predicted=ohio
question=['miami' 'florida' 'minneapolis' 'minnesota'], predicted=minnesota
question=['miami' 'florida' 'bakersfield' 'california'], predicted=california
question=['miami' 'florida' 'anaheim' 'california'], predicted=california
question=['miami' 'florida' 'honolulu' 'hawaii'], predicted=hawaii
question=['miami' 'florida' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['miami' 'florida' 'anchorage' 'alaska'], predicted=alaska
question=['miami' 'florida' 'toledo' 'ohio'], predicted=ohio
question=['miami' 'florida' 'scottsdale' 'arizona'], predicted=arizona
question=['miami' 'florida' 'irvine' 'california'], predicted=california
question=['miami' 'florida' 'shreveport' 'louisiana'], predicted=louisiana
question=['tulsa' 'oklahoma' 'oakland' 'california'], predicted=california
question=['tulsa' 'oklahoma' 'cleveland' 'ohio'], predicted=ohio
question=['tulsa' 'oklahoma' 'minneapolis' 'minnesota'], predicted=minnesota
question=['tulsa' 'oklahoma' 'wichita' 'kansas'], predicted=kansas
question=['tulsa' 'oklahoma' 'honolulu' 'hawaii'], predicted=hawaii
question=['tulsa' 'oklahoma' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['tulsa' 'oklahoma' 'stockton' 'california'], predicted=california
question=['tulsa' 'oklahoma' 'cincinnati' 'ohio'], predicted=ohio
question=['tulsa' 'oklahoma' 'anchorage' 'alaska'], predicted=alaska
question=['tulsa' 'oklahoma' 'glendale' 'arizona'], predicted=arizona
question=['tulsa' 'oklahoma' 'scottsdale' 'arizona'], predicted=arizona
question=['tulsa' 'oklahoma' 'irvine' 'california'], predicted=california
question=['tulsa' 'oklahoma' 'shreveport' 'louisiana'], predicted=louisiana
question=['tulsa' 'oklahoma' 'akron' 'ohio'], predicted=ohio
question=['oakland' 'california' 'cleveland' 'ohio'], predicted=ohio
question=['oakland' 'california' 'tampa' 'florida'], predicted=florida
question=['oakland' 'california' 'honolulu' 'hawaii'], predicted=hawaii
question=['oakland' 'california' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['oakland' 'california' 'cincinnati' 'ohio'], predicted=ohio
question=['oakland' 'california' 'anchorage' 'alaska'], predicted=alaska
question=['oakland' 'california' 'toledo' 'ohio'], predicted=ohio
question=['oakland' 'california' 'orlando' 'florida'], predicted=florida
question=['oakland' 'california' 'laredo' 'texas'], predicted=texas
question=['oakland' 'california' 'madison' 'wisconsin'], predicted=wisconsin
question=['oakland' 'california' 'scottsdale' 'arizona'], predicted=arizona
question=['oakland' 'california' 'akron' 'ohio'], predicted=ohio
question=['cleveland' 'ohio' 'minneapolis' 'minnesota'], predicted=minnesota
question=['cleveland' 'ohio' 'tampa' 'florida'], predicted=florida
question=['cleveland' 'ohio' 'anaheim' 'california'], predicted=california
question=['cleveland' 'ohio' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['cleveland' 'ohio' 'anchorage' 'alaska'], predicted=alaska
question=['cleveland' 'ohio' 'reno' 'nevada'], predicted=nevada
question=['cleveland' 'ohio' 'scottsdale' 'arizona'], predicted=arizona
question=['cleveland' 'ohio' 'irvine' 'california'], predicted=california
question=['cleveland' 'ohio' 'glendale' 'california'], predicted=california
question=['cleveland' 'ohio' 'tallahassee' 'florida'], predicted=florida
question=['cleveland' 'ohio' 'huntsville' 'alabama'], predicted=alabama
question=['minneapolis' 'minnesota' 'wichita' 'kansas'], predicted=kansas
question=['minneapolis' 'minnesota' 'honolulu' 'hawaii'], predicted=hawaii
question=['minneapolis' 'minnesota' 'lexington' 'kentucky'], predicted=kentucky
question=['minneapolis' 'minnesota' 'anchorage' 'alaska'], predicted=alaska
question=['minneapolis' 'minnesota' 'toledo' 'ohio'], predicted=ohio
question=['minneapolis' 'minnesota' 'orlando' 'florida'], predicted=florida
question=['minneapolis' 'minnesota' 'laredo' 'texas'], predicted=texas
question=['minneapolis' 'minnesota' 'madison' 'wisconsin'], predicted=wisconsin
question=['minneapolis' 'minnesota' 'glendale' 'arizona'], predicted=arizona
question=['minneapolis' 'minnesota' 'scottsdale' 'arizona'], predicted=arizona
question=['minneapolis' 'minnesota' 'tacoma' 'washington'], predicted=washington
question=['minneapolis' 'minnesota' 'akron' 'ohio'], predicted=ohio
question=['minneapolis' 'minnesota' 'tallahassee' 'florida'], predicted=florida
question=['minneapolis' 'minnesota' 'huntsville' 'alabama'], predicted=alabama
question=['minneapolis' 'minnesota' 'worcester' 'massachusetts'], predicted=massachusetts
question=['wichita' 'kansas' 'tampa' 'florida'], predicted=florida
question=['wichita' 'kansas' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['wichita' 'kansas' 'lexington' 'kentucky'], predicted=kentucky
question=['wichita' 'kansas' 'cincinnati' 'ohio'], predicted=ohio
question=['wichita' 'kansas' 'toledo' 'ohio'], predicted=ohio
question=['wichita' 'kansas' 'orlando' 'florida'], predicted=florida
question=['wichita' 'kansas' 'scottsdale' 'arizona'], predicted=arizona
question=['wichita' 'kansas' 'akron' 'ohio'], predicted=ohio
question=['wichita' 'kansas' 'glendale' 'california'], predicted=california
question=['wichita' 'kansas' 'tallahassee' 'florida'], predicted=florida
question=['wichita' 'kansas' 'huntsville' 'alabama'], predicted=alabama
question=['wichita' 'kansas' 'chicago' 'illinois'], predicted=illinois
question=['arlington' 'texas' 'bakersfield' 'california'], predicted=california
question=['arlington' 'texas' 'anaheim' 'california'], predicted=california
question=['arlington' 'texas' 'honolulu' 'hawaii'], predicted=hawaii
question=['arlington' 'texas' 'scottsdale' 'arizona'], predicted=arizona
question=['arlington' 'texas' 'irvine' 'california'], predicted=california
question=['arlington' 'texas' 'modesto' 'california'], predicted=california
question=['arlington' 'texas' 'shreveport' 'louisiana'], predicted=louisiana
question=['arlington' 'texas' 'akron' 'ohio'], predicted=ohio
question=['arlington' 'texas' 'glendale' 'california'], predicted=california
question=['arlington' 'texas' 'huntsville' 'alabama'], predicted=alabama
question=['bakersfield' 'california' 'tampa' 'florida'], predicted=florida
question=['bakersfield' 'california' 'honolulu' 'hawaii'], predicted=hawaii
question=['bakersfield' 'california' 'plano' 'texas'], predicted=texas
question=['bakersfield' 'california' 'orlando' 'florida'], predicted=florida
question=['bakersfield' 'california' 'laredo' 'texas'], predicted=texas
question=['bakersfield' 'california' 'lubbock' 'texas'], predicted=texas
question=['bakersfield' 'california' 'glendale' 'arizona'], predicted=arizona
question=['bakersfield' 'california' 'scottsdale' 'arizona'], predicted=arizona
question=['bakersfield' 'california' 'irving' 'texas'], predicted=texas
question=['bakersfield' 'california' 'akron' 'ohio'], predicted=ohio
question=['bakersfield' 'california' 'amarillo' 'texas'], predicted=texas
question=['bakersfield' 'california' 'tallahassee' 'florida'], predicted=florida
question=['bakersfield' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['bakersfield' 'california' 'worcester' 'massachusetts'], predicted=massachusetts
question=['bakersfield' 'california' 'chicago' 'illinois'], predicted=illinois
question=['bakersfield' 'california' 'houston' 'texas'], predicted=texas
question=['tampa' 'florida' 'anaheim' 'california'], predicted=california
question=['tampa' 'florida' 'honolulu' 'hawaii'], predicted=hawaii
question=['tampa' 'florida' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['tampa' 'florida' 'stockton' 'california'], predicted=california
question=['tampa' 'florida' 'cincinnati' 'ohio'], predicted=ohio
question=['tampa' 'florida' 'toledo' 'ohio'], predicted=ohio
question=['tampa' 'florida' 'scottsdale' 'arizona'], predicted=arizona
question=['tampa' 'florida' 'fremont' 'california'], predicted=california
question=['tampa' 'florida' 'irvine' 'california'], predicted=california
question=['tampa' 'florida' 'modesto' 'california'], predicted=california
question=['tampa' 'florida' 'shreveport' 'louisiana'], predicted=louisiana
question=['tampa' 'florida' 'glendale' 'california'], predicted=california
question=['tampa' 'florida' 'huntsville' 'alabama'], predicted=alabama
question=['tampa' 'florida' 'chicago' 'illinois'], predicted=illinois
question=['tampa' 'florida' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['tampa' 'florida' 'phoenix' 'arizona'], predicted=arizona
question=['anaheim' 'california' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['anaheim' 'california' 'anchorage' 'alaska'], predicted=alaska
question=['anaheim' 'california' 'plano' 'texas'], predicted=texas
question=['anaheim' 'california' 'laredo' 'texas'], predicted=texas
question=['anaheim' 'california' 'lubbock' 'texas'], predicted=texas
question=['anaheim' 'california' 'glendale' 'arizona'], predicted=arizona
question=['anaheim' 'california' 'scottsdale' 'arizona'], predicted=arizona
question=['anaheim' 'california' 'irving' 'texas'], predicted=texas
question=['anaheim' 'california' 'amarillo' 'texas'], predicted=texas
question=['anaheim' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['anaheim' 'california' 'worcester' 'massachusetts'], predicted=massachusetts
question=['anaheim' 'california' 'chicago' 'illinois'], predicted=illinois
question=['anaheim' 'california' 'houston' 'texas'], predicted=texas
question=['anaheim' 'california' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['anaheim' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['anaheim' 'california' 'dallas' 'texas'], predicted=texas
question=['honolulu' 'hawaii' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['honolulu' 'hawaii' 'cincinnati' 'ohio'], predicted=ohio
question=['honolulu' 'hawaii' 'anchorage' 'alaska'], predicted=alaska
question=['honolulu' 'hawaii' 'scottsdale' 'arizona'], predicted=arizona
question=['honolulu' 'hawaii' 'shreveport' 'louisiana'], predicted=louisiana
question=['honolulu' 'hawaii' 'tacoma' 'washington'], predicted=washington
question=['honolulu' 'hawaii' 'akron' 'ohio'], predicted=ohio
question=['honolulu' 'hawaii' 'glendale' 'california'], predicted=california
question=['honolulu' 'hawaii' 'chicago' 'illinois'], predicted=illinois
question=['honolulu' 'hawaii' 'houston' 'texas'], predicted=texas
question=['honolulu' 'hawaii' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['honolulu' 'hawaii' 'phoenix' 'arizona'], predicted=arizona
question=['honolulu' 'hawaii' 'dallas' 'texas'], predicted=texas
question=['honolulu' 'hawaii' 'jacksonville' 'florida'], predicted=florida
question=['pittsburgh' 'pennsylvania' 'cincinnati' 'ohio'], predicted=ohio
question=['pittsburgh' 'pennsylvania' 'anchorage' 'alaska'], predicted=alaska
question=['pittsburgh' 'pennsylvania' 'toledo' 'ohio'], predicted=ohio
question=['pittsburgh' 'pennsylvania' 'orlando' 'florida'], predicted=florida
question=['pittsburgh' 'pennsylvania' 'scottsdale' 'arizona'], predicted=arizona
question=['pittsburgh' 'pennsylvania' 'shreveport' 'louisiana'], predicted=louisiana
question=['pittsburgh' 'pennsylvania' 'akron' 'ohio'], predicted=ohio
question=['pittsburgh' 'pennsylvania' 'glendale' 'california'], predicted=california
question=['pittsburgh' 'pennsylvania' 'huntsville' 'alabama'], predicted=alabama
question=['pittsburgh' 'pennsylvania' 'chicago' 'illinois'], predicted=illinois
question=['pittsburgh' 'pennsylvania' 'houston' 'texas'], predicted=texas
question=['pittsburgh' 'pennsylvania' 'phoenix' 'arizona'], predicted=arizona
question=['pittsburgh' 'pennsylvania' 'indianapolis' 'indiana'], predicted=indiana
question=['lexington' 'kentucky' 'cincinnati' 'ohio'], predicted=ohio
question=['lexington' 'kentucky' 'toledo' 'ohio'], predicted=ohio
question=['lexington' 'kentucky' 'orlando' 'florida'], predicted=florida
question=['lexington' 'kentucky' 'scottsdale' 'arizona'], predicted=arizona
question=['lexington' 'kentucky' 'irvine' 'california'], predicted=california
question=['lexington' 'kentucky' 'akron' 'ohio'], predicted=ohio
question=['lexington' 'kentucky' 'glendale' 'california'], predicted=california
question=['lexington' 'kentucky' 'huntsville' 'alabama'], predicted=alabama
question=['lexington' 'kentucky' 'chicago' 'illinois'], predicted=illinois
question=['lexington' 'kentucky' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['lexington' 'kentucky' 'phoenix' 'arizona'], predicted=arizona
question=['lexington' 'kentucky' 'jacksonville' 'florida'], predicted=florida
question=['lexington' 'kentucky' 'indianapolis' 'indiana'], predicted=indiana
question=['stockton' 'california' 'cincinnati' 'ohio'], predicted=ohio
question=['stockton' 'california' 'toledo' 'ohio'], predicted=ohio
question=['stockton' 'california' 'plano' 'texas'], predicted=texas
question=['stockton' 'california' 'orlando' 'florida'], predicted=florida
question=['stockton' 'california' 'laredo' 'texas'], predicted=texas
question=['stockton' 'california' 'madison' 'wisconsin'], predicted=wisconsin
question=['stockton' 'california' 'glendale' 'arizona'], predicted=arizona
question=['stockton' 'california' 'scottsdale' 'arizona'], predicted=arizona
question=['stockton' 'california' 'shreveport' 'louisiana'], predicted=louisiana
question=['stockton' 'california' 'akron' 'ohio'], predicted=ohio
question=['stockton' 'california' 'tallahassee' 'florida'], predicted=florida
question=['stockton' 'california' 'huntsville' 'alabama'], predicted=alabama
question=['stockton' 'california' 'chicago' 'illinois'], predicted=illinois
question=['stockton' 'california' 'houston' 'texas'], predicted=texas
question=['stockton' 'california' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['stockton' 'california' 'phoenix' 'arizona'], predicted=arizona
question=['stockton' 'california' 'dallas' 'texas'], predicted=texas
question=['stockton' 'california' 'indianapolis' 'indiana'], predicted=indiana
question=['stockton' 'california' 'austin' 'texas'], predicted=texas
question=['stockton' 'california' 'detroit' 'michigan'], predicted=michigan
question=['cincinnati' 'ohio' 'anchorage' 'alaska'], predicted=alaska
question=['cincinnati' 'ohio' 'laredo' 'texas'], predicted=texas
question=['cincinnati' 'ohio' 'reno' 'nevada'], predicted=nevada
question=['cincinnati' 'ohio' 'scottsdale' 'arizona'], predicted=arizona
question=['cincinnati' 'ohio' 'glendale' 'california'], predicted=california
question=['cincinnati' 'ohio' 'chicago' 'illinois'], predicted=illinois
question=['cincinnati' 'ohio' 'houston' 'texas'], predicted=texas
question=['cincinnati' 'ohio' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['cincinnati' 'ohio' 'phoenix' 'arizona'], predicted=arizona
question=['cincinnati' 'ohio' 'dallas' 'texas'], predicted=texas
question=['cincinnati' 'ohio' 'indianapolis' 'indiana'], predicted=indiana
question=['cincinnati' 'ohio' 'detroit' 'michigan'], predicted=michigan
question=['cincinnati' 'ohio' 'memphis' 'tennessee'], predicted=tennessee
question=['anchorage' 'alaska' 'laredo' 'texas'], predicted=texas
question=['anchorage' 'alaska' 'madison' 'wisconsin'], predicted=wisconsin
question=['anchorage' 'alaska' 'scottsdale' 'arizona'], predicted=arizona
question=['anchorage' 'alaska' 'shreveport' 'louisiana'], predicted=louisiana
question=['anchorage' 'alaska' 'akron' 'ohio'], predicted=ohio
question=['anchorage' 'alaska' 'glendale' 'california'], predicted=california
question=['anchorage' 'alaska' 'tallahassee' 'florida'], predicted=florida
question=['anchorage' 'alaska' 'chicago' 'illinois'], predicted=illinois
question=['anchorage' 'alaska' 'houston' 'texas'], predicted=texas
question=['anchorage' 'alaska' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['anchorage' 'alaska' 'phoenix' 'arizona'], predicted=arizona
question=['anchorage' 'alaska' 'dallas' 'texas'], predicted=texas
question=['anchorage' 'alaska' 'jacksonville' 'florida'], predicted=florida
question=['anchorage' 'alaska' 'indianapolis' 'indiana'], predicted=indiana
question=['anchorage' 'alaska' 'austin' 'texas'], predicted=texas
question=['anchorage' 'alaska' 'detroit' 'michigan'], predicted=michigan
question=['anchorage' 'alaska' 'memphis' 'tennessee'], predicted=tennessee
question=['toledo' 'ohio' 'orlando' 'florida'], predicted=florida
question=['toledo' 'ohio' 'scottsdale' 'arizona'], predicted=arizona
question=['toledo' 'ohio' 'tacoma' 'washington'], predicted=washington
question=['toledo' 'ohio' 'huntsville' 'alabama'], predicted=alabama
question=['toledo' 'ohio' 'worcester' 'massachusetts'], predicted=massachusetts
question=['toledo' 'ohio' 'chicago' 'illinois'], predicted=illinois
question=['toledo' 'ohio' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['toledo' 'ohio' 'phoenix' 'arizona'], predicted=arizona
question=['toledo' 'ohio' 'indianapolis' 'indiana'], predicted=indiana
question=['toledo' 'ohio' 'memphis' 'tennessee'], predicted=tennessee
question=['toledo' 'ohio' 'boston' 'massachusetts'], predicted=massachusetts
question=['toledo' 'ohio' 'seattle' 'washington'], predicted=washington
question=['plano' 'texas' 'orlando' 'florida'], predicted=florida
question=['plano' 'texas' 'madison' 'wisconsin'], predicted=wisconsin
question=['plano' 'texas' 'scottsdale' 'arizona'], predicted=arizona
question=['plano' 'texas' 'fremont' 'california'], predicted=california
question=['plano' 'texas' 'irvine' 'california'], predicted=california
question=['plano' 'texas' 'modesto' 'california'], predicted=california
question=['plano' 'texas' 'glendale' 'california'], predicted=california
question=['plano' 'texas' 'huntsville' 'alabama'], predicted=alabama
question=['plano' 'texas' 'worcester' 'massachusetts'], predicted=massachusetts
question=['plano' 'texas' 'chicago' 'illinois'], predicted=illinois
question=['plano' 'texas' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['plano' 'texas' 'phoenix' 'arizona'], predicted=arizona
question=['plano' 'texas' 'jacksonville' 'florida'], predicted=florida
question=['plano' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['plano' 'texas' 'seattle' 'washington'], predicted=washington
question=['plano' 'texas' 'denver' 'colorado'], predicted=colorado
question=['henderson' 'nevada' 'scottsdale' 'arizona'], predicted=arizona
question=['henderson' 'nevada' 'irvine' 'california'], predicted=california
question=['henderson' 'nevada' 'modesto' 'california'], predicted=california
question=['henderson' 'nevada' 'akron' 'ohio'], predicted=ohio
question=['henderson' 'nevada' 'glendale' 'california'], predicted=california
question=['henderson' 'nevada' 'denver' 'colorado'], predicted=colorado
question=['orlando' 'florida' 'laredo' 'texas'], predicted=texas
question=['orlando' 'florida' 'madison' 'wisconsin'], predicted=wisconsin
question=['orlando' 'florida' 'scottsdale' 'arizona'], predicted=arizona
question=['orlando' 'florida' 'irvine' 'california'], predicted=california
question=['orlando' 'florida' 'modesto' 'california'], predicted=california
question=['orlando' 'florida' 'shreveport' 'louisiana'], predicted=louisiana
question=['orlando' 'florida' 'akron' 'ohio'], predicted=ohio
question=['orlando' 'florida' 'glendale' 'california'], predicted=california
question=['orlando' 'florida' 'huntsville' 'alabama'], predicted=alabama
question=['orlando' 'florida' 'chicago' 'illinois'], predicted=illinois
question=['orlando' 'florida' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['orlando' 'florida' 'phoenix' 'arizona'], predicted=arizona
question=['orlando' 'florida' 'dallas' 'texas'], predicted=texas
question=['orlando' 'florida' 'indianapolis' 'indiana'], predicted=indiana
question=['orlando' 'florida' 'detroit' 'michigan'], predicted=michigan
question=['orlando' 'florida' 'memphis' 'tennessee'], predicted=tennessee
question=['orlando' 'florida' 'boston' 'massachusetts'], predicted=massachusetts
question=['orlando' 'florida' 'denver' 'colorado'], predicted=colorado
question=['orlando' 'florida' 'baltimore' 'maryland'], predicted=maryland
question=['orlando' 'florida' 'nashville' 'tennessee'], predicted=tennessee
question=['laredo' 'texas' 'scottsdale' 'arizona'], predicted=arizona
question=['laredo' 'texas' 'fremont' 'california'], predicted=california
question=['laredo' 'texas' 'irvine' 'california'], predicted=california
question=['laredo' 'texas' 'glendale' 'california'], predicted=california
question=['laredo' 'texas' 'huntsville' 'alabama'], predicted=alabama
question=['laredo' 'texas' 'chicago' 'illinois'], predicted=illinois
question=['laredo' 'texas' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['laredo' 'texas' 'phoenix' 'arizona'], predicted=arizona
question=['laredo' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['laredo' 'texas' 'seattle' 'washington'], predicted=washington
question=['laredo' 'texas' 'denver' 'colorado'], predicted=colorado
question=['laredo' 'texas' 'baltimore' 'maryland'], predicted=maryland
question=['laredo' 'texas' 'nashville' 'tennessee'], predicted=tennessee
question=['chandler' 'arizona' 'lubbock' 'texas'], predicted=texas
question=['chandler' 'arizona' 'irving' 'texas'], predicted=texas
question=['chandler' 'arizona' 'irvine' 'california'], predicted=california
question=['chandler' 'arizona' 'amarillo' 'texas'], predicted=texas
question=['chandler' 'arizona' 'glendale' 'california'], predicted=california
question=['chandler' 'arizona' 'tallahassee' 'florida'], predicted=florida
question=['chandler' 'arizona' 'chicago' 'illinois'], predicted=illinois
question=['chandler' 'arizona' 'houston' 'texas'], predicted=texas
question=['chandler' 'arizona' 'dallas' 'texas'], predicted=texas
question=['chandler' 'arizona' 'jacksonville' 'florida'], predicted=florida
question=['chandler' 'arizona' 'austin' 'texas'], predicted=texas
question=['chandler' 'arizona' 'detroit' 'michigan'], predicted=michigan
question=['chandler' 'arizona' 'denver' 'colorado'], predicted=colorado
question=['chandler' 'arizona' 'baltimore' 'maryland'], predicted=maryland
question=['madison' 'wisconsin' 'scottsdale' 'arizona'], predicted=arizona
question=['madison' 'wisconsin' 'irvine' 'california'], predicted=california
question=['madison' 'wisconsin' 'modesto' 'california'], predicted=california
question=['madison' 'wisconsin' 'akron' 'ohio'], predicted=ohio
question=['madison' 'wisconsin' 'glendale' 'california'], predicted=california
question=['madison' 'wisconsin' 'chicago' 'illinois'], predicted=illinois
question=['madison' 'wisconsin' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['madison' 'wisconsin' 'phoenix' 'arizona'], predicted=arizona
question=['madison' 'wisconsin' 'dallas' 'texas'], predicted=texas
question=['madison' 'wisconsin' 'detroit' 'michigan'], predicted=michigan
question=['madison' 'wisconsin' 'denver' 'colorado'], predicted=colorado
question=['madison' 'wisconsin' 'baltimore' 'maryland'], predicted=maryland
question=['lubbock' 'texas' 'scottsdale' 'arizona'], predicted=arizona
question=['lubbock' 'texas' 'irvine' 'california'], predicted=california
question=['lubbock' 'texas' 'modesto' 'california'], predicted=california
question=['lubbock' 'texas' 'glendale' 'california'], predicted=california
question=['lubbock' 'texas' 'tallahassee' 'florida'], predicted=florida
question=['lubbock' 'texas' 'chicago' 'illinois'], predicted=illinois
question=['lubbock' 'texas' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['lubbock' 'texas' 'phoenix' 'arizona'], predicted=arizona
question=['lubbock' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['lubbock' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['lubbock' 'texas' 'portland' 'oregon'], predicted=oregon
question=['garland' 'texas' 'scottsdale' 'arizona'], predicted=arizona
question=['garland' 'texas' 'irvine' 'california'], predicted=california
question=['garland' 'texas' 'modesto' 'california'], predicted=california
question=['garland' 'texas' 'tacoma' 'washington'], predicted=washington
question=['garland' 'texas' 'glendale' 'california'], predicted=california
question=['garland' 'texas' 'tallahassee' 'florida'], predicted=florida
question=['garland' 'texas' 'huntsville' 'alabama'], predicted=alabama
question=['garland' 'texas' 'chicago' 'illinois'], predicted=illinois
question=['garland' 'texas' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['garland' 'texas' 'phoenix' 'arizona'], predicted=arizona
question=['garland' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['garland' 'texas' 'seattle' 'washington'], predicted=washington
question=['garland' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['garland' 'texas' 'portland' 'oregon'], predicted=oregon
question=['garland' 'texas' 'tucson' 'arizona'], predicted=arizona
question=['garland' 'texas' 'fresno' 'california'], predicted=california
question=['glendale' 'arizona' 'akron' 'ohio'], predicted=ohio
question=['glendale' 'arizona' 'tallahassee' 'florida'], predicted=florida
question=['glendale' 'arizona' 'huntsville' 'alabama'], predicted=alabama
question=['glendale' 'arizona' 'chicago' 'illinois'], predicted=illinois
question=['glendale' 'arizona' 'houston' 'texas'], predicted=texas
question=['glendale' 'arizona' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['glendale' 'arizona' 'dallas' 'texas'], predicted=texas
question=['glendale' 'arizona' 'jacksonville' 'florida'], predicted=florida
question=['glendale' 'arizona' 'austin' 'texas'], predicted=texas
question=['glendale' 'arizona' 'seattle' 'washington'], predicted=washington
question=['glendale' 'arizona' 'denver' 'colorado'], predicted=colorado
question=['glendale' 'arizona' 'baltimore' 'maryland'], predicted=maryland
question=['glendale' 'arizona' 'nashville' 'tennessee'], predicted=tennessee
